=========== Design Variables ===========
 NAME VALUE MINIMUM MAXIMUM DESCRIPTION 
========================================
""
x vs F,
x,y = 0,y = 0.1,y = 0.2,y = 0.3,y = 0.4
0.6,1.1600000000000001,0.9700000000000001,0.8000000000000002,0.6499999999999999,0.52
0.608,1.153664,0.9636640000000001,0.7936640000000001,0.643664,0.513664
0.616,1.147456,0.9574560000000001,0.7874560000000002,0.6374559999999999,0.507456
0.624,1.141376,0.951376,0.7813760000000001,0.6313759999999999,0.501376
0.632,1.135424,0.945424,0.7754240000000001,0.625424,0.495424
0.64,1.1296,0.9396,0.7696000000000001,0.6195999999999999,0.4896
0.648,1.123904,0.9339040000000001,0.7639040000000001,0.6139039999999999,0.483904
0.656,1.118336,0.928336,0.7583360000000001,0.6083359999999999,0.478336
0.6639999999999999,1.112896,0.9228960000000002,0.7528960000000002,0.602896,0.47289600000000004
0.6719999999999999,1.1075840000000001,0.9175840000000001,0.7475840000000001,0.597584,0.467584
0.6799999999999999,1.1024,0.9124000000000001,0.7424000000000002,0.5924,0.46240000000000003
0.688,1.097344,0.907344,0.7373440000000001,0.587344,0.45734400000000003
0.696,1.092416,0.9024160000000001,0.7324160000000002,0.5824159999999999,0.45241600000000004
0.704,1.0876160000000001,0.8976160000000001,0.7276160000000002,0.5776159999999999,0.447616
0.712,1.082944,0.8929440000000001,0.7229440000000001,0.5729439999999999,0.442944
0.72,1.0784,0.8884000000000001,0.7184000000000001,0.5683999999999999,0.4384
0.728,1.073984,0.8839840000000001,0.7139840000000002,0.5639839999999999,0.433984
0.736,1.069696,0.879696,0.7096960000000001,0.559696,0.42969599999999997
0.744,1.065536,0.8755360000000001,0.7055360000000002,0.5555359999999999,0.42553599999999997
0.752,1.061504,0.8715040000000001,0.7015040000000001,0.5515039999999999,0.421504
0.76,1.0576,0.8676,0.6976000000000001,0.5476,0.41759999999999997
0.768,1.053824,0.863824,0.6938240000000001,0.543824,0.41382399999999997
0.776,1.050176,0.860176,0.6901760000000001,0.5401759999999999,0.410176
0.784,1.046656,0.8566560000000001,0.6866560000000002,0.5366559999999999,0.40665599999999996
0.792,1.043264,0.853264,0.6832640000000001,0.533264,0.40326399999999996
0.8,1.04,0.8500000000000001,0.6800000000000002,0.5299999999999999,0.39999999999999997
0.808,1.036864,0.8468640000000001,0.6768640000000001,0.5268639999999999,0.396864
0.816,1.033856,0.843856,0.6738560000000001,0.523856,0.393856
0.824,1.0309760000000001,0.8409760000000001,0.6709760000000001,0.520976,0.390976
0.832,1.028224,0.8382240000000001,0.6682240000000002,0.5182239999999999,0.388224
0.84,1.0256,0.8356000000000001,0.6656000000000002,0.5156,0.3856
0.848,1.023104,0.8331040000000001,0.6631040000000001,0.5131039999999999,0.383104
0.856,1.020736,0.830736,0.6607360000000001,0.510736,0.38073599999999996
0.864,1.018496,0.828496,0.6584960000000001,0.508496,0.378496
0.872,1.016384,0.826384,0.6563840000000001,0.506384,0.376384
0.88,1.0144,0.8244,0.6544000000000001,0.5044,0.3744
0.888,1.0125439999999999,0.822544,0.6525440000000001,0.5025439999999999,0.372544
0.8959999999999999,1.010816,0.8208160000000001,0.6508160000000002,0.5008159999999999,0.37081600000000003
0.9039999999999999,1.0092160000000001,0.819216,0.6492160000000001,0.49921599999999994,0.369216
0.9119999999999999,1.007744,0.817744,0.6477440000000001,0.49774399999999996,0.367744
0.9199999999999999,1.0064,0.8164,0.6464000000000001,0.49639999999999995,0.3664
0.9279999999999999,1.005184,0.815184,0.6451840000000001,0.49518399999999996,0.365184
0.9359999999999999,1.004096,0.814096,0.6440960000000001,0.4940959999999999,0.364096
0.944,1.003136,0.8131360000000001,0.6431360000000002,0.49313599999999996,0.363136
0.952,1.002304,0.812304,0.6423040000000001,0.49230399999999996,0.362304
0.96,1.0016,0.8116000000000001,0.6416000000000002,0.4915999999999999,0.3616
0.968,1.001024,0.8110240000000001,0.6410240000000001,0.49102399999999996,0.361024
0.976,1.000576,0.8105760000000001,0.6405760000000001,0.49057599999999996,0.360576
0.984,1.000256,0.8102560000000001,0.6402560000000002,0.4902559999999999,0.36025599999999997
0.992,1.000064,0.810064,0.6400640000000001,0.49006399999999994,0.360064
1.0,1.0,0.81,0.6400000000000001,0.48999999999999994,0.36
,
