==================== Design Variables =====================
 NAME   VALUE MINIMUM MAXIMUM DESCRIPTION                  
    L 19.6667       1      20 Length of Cardboard  (in)    
    W      12       1      20 Width of Cardboard  (in)     
    h       3       1       6 Height of Box  (in)          
  thk     0.1    0.02     0.4 Thickness of Cardboard  (in) 
===========================================================
""
L,Volume
1.0,1 < L < 20
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,5.336371840412942e-05
8.0,18.00005336371401
9.0,36.00005336370962
10.0,54.00005336370521
11.0,72.00005336370083
12.0,90.00005336369642
13.0,108.00005336369203
14.0,126.00005336368764
15.0,144.00005336368324
16.0,162.00005336367886
17.0,180.00005336367445
18.0,198.00005336367008
19.0,216.00005336366567
20.0,234.0000533636613
