==================== Design Variables =====================
 NAME   VALUE MINIMUM MAXIMUM DESCRIPTION                  
    L 19.6667       1      20 Length of Cardboard  (in)    
    W      12       1      20 Width of Cardboard  (in)     
    h       3       1       6 Height of Box  (in)          
  thk     0.1    0.02     0.4 Thickness of Cardboard  (in) 
===========================================================
""
W,sysMass
1.0,0.0
2.0,0.00833340744954949
3.0,0.05750006670456989
4.0,0.10666672595959029
5.0,0.15583338521461068
6.0,0.20500004446963108
7.0,0.2541667037246515
8.0,0.3033333629796719
9.0,0.3525000222346923
10.0,0.4016666814897127
11.0,0.4508333407447331
12.0,0.4999999999997535
13.0,0.5491666592547738
14.0,0.5983333185097943
15.0,0.6474999777648146
16.0,0.6966666370198351
17.0,0.7458332962748555
18.0,0.7949999555298758
19.0,0.8441666147848963
20.0,0.8933332740399167
