==================== Design Variables =====================
 NAME   VALUE MINIMUM MAXIMUM DESCRIPTION                  
    L 19.6667       1      20 Length of Cardboard  (in)    
    W      12       1      20 Width of Cardboard  (in)     
    h       3       1       6 Height of Box  (in)          
  thk     0.1    0.02     0.4 Thickness of Cardboard  (in) 
===========================================================
""
h,sysMass
1.0,0.5799999110602448
1.25,0.5743749110602447
1.5,0.5674999110602448
1.75,0.5593749110602448
2.0,0.5499999110602448
2.25,0.5393749110602448
2.5,0.5274999110602447
2.75,0.5143749110602448
3.0,0.49999991106024483
3.25,0.48437491106024483
3.5,0.4674999110602448
3.75,0.44937491106024474
4.0,0.4299999110602448
4.25,0.4093749110602448
4.5,0.3874999110602448
4.75,0.3643749110602448
5.0,0.33999991106024474
5.25,0.3143749110602448
5.5,0.28749991106024475
5.75,0.25937491106024474
6.0,0.22999991106024475
