==================== Design Variables =====================
 NAME   VALUE MINIMUM MAXIMUM DESCRIPTION                  
    L 19.6667       1      20 Length of Cardboard  (in)    
    W      12       1      20 Width of Cardboard  (in)     
    h       3       1       6 Height of Box  (in)          
  thk     0.1    0.02     0.4 Thickness of Cardboard  (in) 
===========================================================
""
h,Volume
1.0,1 < h < 6
1.25,176.66663702008157
1.5,203.85413146134687
1.75,224.9999599771101
2.0,240.47912256737138
2.25,250.66661923213053
2.5,255.93744997138768
2.75,256.66661478514277
3.0,253.22911367339583
3.25,245.99994663614683
3.5,235.35411367339583
3.75,221.66661478514277
4.0,205.31244997138765
4.25,186.66661923213053
4.5,166.10412256737138
4.75,143.99995997711014
5.0,120.72913146134688
5.25,96.66663702008158
5.5,72.18747665331425
5.75,47.66665036104487
6.0,23.479158143273455
