=========== Design Variables ===========
 NAME VALUE MINIMUM MAXIMUM DESCRIPTION 
========================================
""
b,a
2.0,15.811388300841855
2.16,15.214515486254488
2.32,14.680505487867261
2.48,14.199045856175864
2.64,13.762047064077914
2.8,13.3630620956181
2.96,12.996881122745183
3.12,12.659242088535871
3.2800000000000002,12.346619958103314
3.44,12.056070554233862
3.6,11.785113019734995
3.76,11.531640100299992
3.92,11.293848786226631
4.08,11.070186069124512
4.24,10.859306068900224
4.4,10.660035817539228
4.5600000000000005,10.471347706968155
4.720000000000001,10.292337119478786
4.88,10.122204126676973
5.04,9.960238410399596
5.2,9.805806756909016
5.359999999999999,9.658342616077952
5.52,9.51733734533569
5.68,9.3823328130096
5.84,9.252915127469528
6.0,9.128709291752084
6.16,9.009374626954727
6.32,8.894600837059173
6.48,8.784104611577495
6.64,8.677626681256147
6.8,8.574929257123431
6.96,8.475793795257689
7.12,8.38001903942194
7.28,8.287419301643915
7.44,8.197822947295196
7.6000000000000005,8.111071056533122
7.76,8.027016238343283
7.92,7.945521577039654
8.08,7.8664596940862745
8.24,7.7897119106124695
8.4,7.715167498093593
8.56,7.642723006434066
8.719999999999999,7.572281660177627
8.879999999999999,7.503752814828975
9.04,7.437051466339867
9.2,7.372097807722896
9.36,7.308816827533606
9.52,7.247137945627295
9.68,7.186994682168856
9.84,7.128324356366426
10.0,7.071067811824895
