=========== Design Variables ===========
 NAME VALUE MINIMUM MAXIMUM DESCRIPTION 
========================================
""
b,boxSurfArea
2.0,376.49110640673354
2.16,362.9348952827164
2.32,351.7523323067089
2.48,342.4674381190496
2.64,334.7211563905583
2.8,328.2377240422679
2.96,322.80199141207305
3.12,318.2437515210857
3.2800000000000002,314.4266782401506
3.44,311.24036803492277
3.6,308.59451637211123
3.76,306.4145905113587
3.92,304.6385693741863
4.08,303.21445625315044
4.24,302.098359226601
4.4,301.2529940199097
4.5600000000000005,300.6465049753264
4.720000000000001,300.2515281967604
4.88,300.04444093485085
5.04,300.0047555456553
5.2,300.11462669755
5.359999999999999,300.3584477782588
5.52,300.7225187299334
5.68,301.19477052565475
5.84,301.7645357338426
6.0,302.42235633537086
6.16,303.15982197698014
6.32,303.9694332114696
6.48,304.8444853592257
6.64,305.77896947341185
6.8,306.7674875584287
6.96,307.8051797197028
7.12,308.8876613438111
7.28,310.0109687451309
7.44,311.1715119867047
7.6000000000000005,312.36603380273624
7.76,313.59157372880225
7.92,314.8454366918189
8.08,316.1251654315523
8.24,317.4285162241248
8.4,318.75343745958446
8.56,320.09805069337904
8.719999999999999,321.460633848058
8.879999999999999,322.83960628877895
9.04,324.2335155358375
9.2,325.64102541083525
9.36,327.0609054412966
9.52,328.4920213724384
9.68,329.9333266551015
9.84,331.38385479614936
10.0,332.8427124724219
