====================== Design Variables ======================
   NAME    VALUE MINIMUM MAXIMUM DESCRIPTION                  
      L  16.3299       1      20 Length of Cardboard  (in)    
 WoverL 0.999999    0.05       1 Width/Length of Cardboard    
 HoverW     0.25    0.05    0.45 Height/Width of Box          
    thk      0.1    0.02     0.4 Thickness of Cardboard  (in) 
==============================================================
""
HoverW,boxMass
0.05,0.6600000001358848
0.07105263157894737,0.6532040708203966
0.09210526315789475,0.6440443400038689
0.11315789473684211,0.6325208076863021
0.13421052631578947,0.6186334738676957
0.15526315789473683,0.6023823385480501
0.1763157894736842,0.5837674017273651
0.19736842105263158,0.5627886634056407
0.21842105263157896,0.5394461235828769
0.23947368421052634,0.5137397822590738
0.26052631578947366,0.4856696394342314
0.28157894736842104,0.45523569510834955
0.3026315789473684,0.4224379492814282
0.3236842105263158,0.3872764019534677
0.3447368421052631,0.34975105312446775
0.3657894736842105,0.3098619027944285
0.3868421052631579,0.26760895096334975
0.40789473684210525,0.22299219763123168
0.42894736842105263,0.17601164279807416
0.45,0.12666728646387734
