======================= Design Variables =======================
 NAME   VALUE MINIMUM MAXIMUM DESCRIPTION                       
    a 9.99999       5      15 Base Dimension of Cardboard  (in) 
    b 5.00001       2      10 Height of Box  (in)               
================================================================
""
b,boxSurfArea
5.04,301.5996923029452
5.2,307.9996873994055
5.359999999999999,314.3996824958658
5.52,320.79967759232613
5.68,327.1996726887865
5.84,333.5996677852469
6.0,339.9996628817072
6.16,346.39965797816757
6.32,352.79965307462794
6.48,359.19964817108826
6.64,365.5996432675486
6.8,371.9996383640089
6.96,378.39963346046926
7.12,384.79962855692963
7.28,391.19962365338995
7.44,397.5996187498503
7.6000000000000005,403.99961384631064
7.76,410.39960894277095
7.92,416.7996040392313
8.08,423.19959913569164
8.24,429.599594232152
8.4,435.99958932861233
8.56,442.3995844250727
8.719999999999999,448.79957952153296
8.879999999999999,455.19957461799333
9.04,461.59956971445365
9.2,467.999564810914
9.36,474.3995599073744
9.52,480.7995550038347
9.68,487.1995501002951
9.84,493.5995451967554
10.0,499.9995402932158
