======================= Design Variables =======================
 NAME   VALUE MINIMUM MAXIMUM DESCRIPTION                       
    a 9.99999       5      15 Base Dimension of Cardboard  (in) 
    b 5.00001       2      10 Height of Box  (in)               
================================================================
""
a,boxSurfArea
10.0,300.0003064711191
10.2,308.0403126005414
10.4,316.1603187299638
10.600000000000001,324.36032485938625
10.8,332.6403309888086
11.0,341.00033711823096
11.2,349.4403432476533
11.4,357.9603493770758
11.600000000000001,366.5603555064982
11.8,375.2403616359205
12.0,384.00036776534284
12.2,392.8403738947652
12.4,401.76038002418767
12.600000000000001,410.76038615361006
12.8,419.84039228303243
13.0,429.0003984124548
13.200000000000001,438.2404045418772
13.4,447.56041067129956
13.6,456.9604168007219
13.8,466.44042293014434
14.0,476.00042905956667
14.200000000000001,485.64043518898916
14.4,495.36044131841146
14.600000000000001,505.1604474478339
14.8,515.0404535772562
15.0,525.0004597066786
